Gene1	Gene2	combine_score
BCAP31	EGFR	0.359
BCAP31	EIF2AK3	0.451
BCAP31	EPCAM	0.557
BCAP31	ERN1	0.403
BCAP31	ERP44	0.340
BCAP31	ESR2	0.733
BCAP31	FIS1	0.996
BCAP31	GDI2	0.398
BCAP31	HLA-A	0.648
BCAP31	HSP90AA1	0.392
BCAP31	HSP90AB1	0.585
BCAP31	HSP90B1	0.401
BCAP31	HSPA5	0.703
BCAP31	HSPA8	0.511
BCAP31	HSPA9	0.653
BCAP31	HSPH1	0.395
BCAP31	HTT	0.378
BCAP31	IDH3G	0.614
BCAP31	IER3IP1	0.291
BCAP31	ITGAM	0.354
BCAP31	ITPR1	0.746
BCAP31	ITPR2	0.392
BCAP31	ITPR3	0.765
BCAP31	L1CAM	0.511
BCAP31	LAMP2	0.455
BCAP31	LBR	0.509
BCAP31	LMAN1	0.721
BCAP31	LMAN2	0.389
BCAP31	MFN1	0.563
BCAP31	MFN2	0.758
BCAP31	MGAT2	0.177
BCAP31	MOSPD2	0.509
BCAP31	MYH10	0.517
BCAP31	NDUFB11	0.446
BCAP31	NDUFS4	0.467
BCAP31	NQO1	0.375
BCAP31	NSDHL	0.521
BCAP31	OLA1	0.462
BCAP31	OSBPL5	0.463
BCAP31	OSBPL8	0.448
BCAP31	P4HB	0.583
BCAP31	PACS1	0.769
BCAP31	PDIA3	0.702
BCAP31	PHB	0.671
BCAP31	PIGT	0.213
BCAP31	PLA2G6	0.350
BCAP31	PLXNB3	0.724
BCAP31	POR	0.348
BCAP31	RAB11A	0.455
BCAP31	RAB14	0.317
BCAP31	RAB2A	0.344
BCAP31	RAB5C	0.360
BCAP31	RAB7A	0.549
BCAP31	RHOA	0.601
BCAP31	RPS3A	0.358
BCAP31	RTN4	0.450
BCAP31	SEC61A1	0.758
BCAP31	SELENOS	0.288
BCAP31	SGTA	0.484
BCAP31	SHMT2	0.377
BCAP31	SIGMAR1	0.484
BCAP31	SLC6A8	0.457
BCAP31	SOAT1	0.320
BCAP31	SOX17	0.353
BCAP31	SSR4	0.559
BCAP31	TMX3	0.282
BCAP31	UBE2G2	0.352
BCAP31	UBE2J1	0.343
BCAP31	UBE2N	0.885
BCAP31	UBL4A	0.451
BCAP31	VAMP2	0.347
BCAP31	VAMP3	0.585
BCAP31	VAPB	0.915
BCAP31	VCP	0.356
BCAP31	WDR45	0.324
BCAP31	XBP1	0.477
BCAP31	YKT6	0.462
BCAP31	YWHAG	0.394
BCAR1	BMX	0.281
BCAR1	BRK1	0.551
BCAR1	BTBD6	0.150
BCAR1	CBL	0.926
BCAR1	CCNG2	0.306
BCAR1	CD2AP	0.803
BCAR1	CDC42	0.720
BCAR1	CFL1	0.547
BCAR1	CORIN	0.255
BCAR1	CRK	0.999
BCAR1	CRKL	0.999
BCAR1	CSK	0.809
BCAR1	CTNNB1	0.770
BCAR1	DCC	0.426
BCAR1	DOK1	0.294
BCAR1	EFNA1	0.301
BCAR1	EGFR	0.825
BCAR1	EPHA2	0.669
BCAR1	EPHA4	0.522
BCAR1	EPHB4	0.713
BCAR1	ERBB2	0.845
BCAR1	ERBIN	0.443
BCAR1	ESR1	0.941
BCAR1	EZR	0.571
BCAR1	FERMT2	0.447
BCAR1	FGA	0.518
BCAR1	FGB	0.499
BCAR1	FGG	0.508
BCAR1	FLNA	0.710
BCAR1	FLNB	0.633
BCAR1	FLNC	0.619
BCAR1	FLT4	0.441
BCAR1	FMNL3	0.219
BCAR1	FN1	0.803
BCAR1	FYN	0.974
BCAR1	GAPDH	0.521
BCAR1	GMFG	0.216
BCAR1	GPR37L1	0.271
BCAR1	GRB2	0.982
BCAR1	GRB7	0.426
BCAR1	GRIN3B	0.275
BCAR1	GRP	0.509
BCAR1	GSN	0.525
BCAR1	HCK	0.580
BCAR1	HSP90AA1	0.760
BCAR1	ILK	0.886
BCAR1	INHA	0.476
BCAR1	INHBA	0.409
BCAR1	INHBB	0.430
BCAR1	INPPL1	0.890
BCAR1	ITGA1	0.705
BCAR1	ITGA2	0.719
BCAR1	ITGA2B	0.664
BCAR1	ITGA4	0.678
BCAR1	ITGA5	0.750
BCAR1	ITGA6	0.711
BCAR1	ITGAL	0.665
BCAR1	ITGAM	0.668
BCAR1	ITGAV	0.817
BCAR1	ITGAX	0.653
BCAR1	ITGB1	0.914
BCAR1	ITGB2	0.692
BCAR1	ITGB3	0.757
BCAR1	ITGB4	0.742
BCAR1	ITGB6	0.682
BCAR1	ITGB7	0.675
BCAR1	ITK	0.478
BCAR1	KDR	0.658
BCAR1	LAMA5	0.316
BCAR1	LCK	0.847
BCAR1	LIMS1	0.495
BCAR1	LYN	0.887
BCAR1	MAPK3	0.515
BCAR1	MICAL1	0.189
BCAR1	MMP14	0.557
BCAR1	MPP5	0.575
BCAR1	MSN	0.560
BCAR1	NCK2	0.560
BCAR1	NCKAP1	0.576
BCAR1	NLN	0.288
BCAR1	NPHP1	0.893
BCAR1	PARD6A	0.548
BCAR1	PARVA	0.644
BCAR1	PARVB	0.504
BCAR1	PATJ	0.581
BCAR1	PDGFB	0.590
BCAR1	PDGFRA	0.600
BCAR1	PDGFRB	0.689
BCAR1	PFN2	0.295
BCAR1	PIK3R1	0.668
BCAR1	PKN3	0.428
BCAR1	PLEKHA1	0.224
BCAR1	PPP5C	0.472
BCAR1	PRLHR	0.192
BCAR1	PTEN	0.546
BCAR1	PTK2	0.999
BCAR1	PTK2B	0.998
BCAR1	PTK6	0.943
BCAR1	PTP4A3	0.715
BCAR1	PTPN1	0.927
BCAR1	PTPN11	0.602
BCAR1	PTPN12	0.962
BCAR1	PTPN13	0.470
BCAR1	PTPN14	0.599
BCAR1	PTPN18	0.247
BCAR1	PTPRA	0.489
BCAR1	PTPRH	0.385
BCAR1	PTPRU	0.240
BCAR1	PTS	0.426
BCAR1	RAB1A	0.439
BCAR1	RAC1	0.636
BCAR1	RAP1A	0.609
BCAR1	RAP1B	0.616
BCAR1	RHOA	0.764
BCAR1	RRAS	0.585
BCAR1	SLC12A4	0.339
BCAR1	SLC33A1	0.355
BCAR1	SLC47A2	0.290
BCAR1	SLIT3	0.395
BCAR1	SMAD3	0.509
BCAR1	SOCS6	0.374
BCAR1	SP6	0.253
BCAR1	SRC	0.999
BCAR1	SRMS	0.211
BCAR1	THOP1	0.298
BCAR1	TLN1	0.998
BCAR1	TNS3	0.906
BCAR1	VASP	0.835
BCAR1	VAV1	0.581
BCAR1	VCL	0.999
BCAR1	VWF	0.578
BCAR1	WAS	0.735
BCAR1	WASF1	0.597
BCAR1	WASF2	0.649
BCAR1	WDR1	0.338
BCAR1	WIPF1	0.336
BCAR1	YES1	0.448
BCAR1	YWHAZ	0.516
BCAR1	ZNF692	0.373
BCAR1	ZNRF3	0.249
BCAT1	BCAT2	0.907
BCAT1	BCKDHA	0.985
BCAT1	BCKDHB	0.989
BCAT1	BCKDK	0.594
BCAT1	BHMT	0.401
BCAT1	BHMT2	0.441
BCAT1	BICD1	0.213
BCAT1	BTD	0.437
BCAT1	CBS	0.418
BCAT1	CDO1	0.356
BCAT1	CS	0.438
BCAT1	CTH	0.948
BCAT1	CYP2W1	0.241
BCAT1	DBT	0.712
BCAT1	DHODH	0.457
BCAT1	DLAT	0.575
BCAT1	DLD	0.590
BCAT1	DLST	0.547
BCAT1	DPYS	0.282
BCAT1	DPYSL3	0.265
BCAT1	DPYSL4	0.218
BCAT1	ESD	0.376
BCAT1	ETNK1	0.289
BCAT1	ETNPPL	0.351
BCAT1	FFAR1	0.325
BCAT1	FH	0.423
BCAT1	FPGS	0.870
BCAT1	FSTL3	0.354
BCAT1	GAPDH	0.427
BCAT1	GART	0.416
BCAT1	GCLM	0.913
BCAT1	GLDC	0.526
BCAT1	GLS	0.371
BCAT1	GLUD1	0.599
BCAT1	GLUD2	0.518
BCAT1	GLUL	0.553
BCAT1	GOT1	0.473
BCAT1	GOT2	0.431
BCAT1	GPT	0.485
BCAT1	GPT2	0.539
BCAT1	GRB7	0.382
BCAT1	GRHPR	0.868
BCAT1	GSR	0.519
BCAT1	H6PD	0.468
BCAT1	HACL1	0.753
BCAT1	HAS1	0.328
BCAT1	HAS2	0.368
BCAT1	HAS3	0.327
BCAT1	HIBADH	0.574
BCAT1	HLCS	0.422
BCAT1	HMGCL	0.820
BCAT1	HMGCLL1	0.811
BCAT1	HSD17B14	0.332
BCAT1	IDH1	0.709
BCAT1	IDH2	0.646
BCAT1	IDH3A	0.423
BCAT1	IDH3B	0.422
BCAT1	IDH3G	0.417
BCAT1	IKZF1	0.482
BCAT1	IL4I1	0.925
BCAT1	KYAT1	0.452
BCAT1	KYAT3	0.386
BCAT1	LDHA	0.903
BCAT1	LDHAL6A	0.830
BCAT1	LDHAL6B	0.833
BCAT1	LDHC	0.833
BCAT1	LGSN	0.367
BCAT1	LIPT2	0.232
BCAT1	MAT2A	0.667
BCAT1	MLX	0.201
BCAT1	MTHFD1	0.438
BCAT1	MTHFD1L	0.417
BCAT1	MTHFD2	0.463
BCAT1	MTR	0.476
BCAT1	NAGS	0.401
BCAT1	NIT2	0.474
BCAT1	NMNAT2	0.402
BCAT1	OAT	0.430
BCAT1	ODC1	0.424
BCAT1	PC	0.439
BCAT1	PCCB	0.411
BCAT1	PDHB	0.759
BCAT1	PDHX	0.556
BCAT1	PHGDH	0.520
BCAT1	PHYKPL	0.331
BCAT1	PPAT	0.416
BCAT1	PPCDC	0.236
BCAT1	PPCS	0.238
BCAT1	PPM1K	0.407
BCAT1	PSAT1	0.653
BCAT1	PSPH	0.629
BCAT1	PYCR1	0.356
BCAT1	PYCR3	0.255
BCAT1	RAB3GAP1	0.360
BCAT1	RIDA	0.380
BCAT1	SDHB	0.415
BCAT1	SDS	0.912
BCAT1	SDSL	0.909
BCAT1	SHMT1	0.562
BCAT1	SHMT2	0.534
BCAT1	SLC1A4	0.284
BCAT1	SLC25A12	0.244
BCAT1	SLC6A15	0.349
BCAT1	SLC7A10	0.239
BCAT1	SLC7A11	0.379
BCAT1	SLC7A5	0.509
BCAT1	SLC7A6	0.253
BCAT1	SLC7A7	0.309
BCAT1	SLC7A8	0.267
BCAT1	SRR	0.471
BCAT1	ST8SIA1	0.189
BCAT1	TAT	0.513
BCAT1	THRB	0.548
BCAT1	THTPA	0.207
BCAT1	TK1	0.411
BCAT1	TMLHE	0.608
BCAT1	TPK1	0.310
BCAT1	TXNRD1	0.505
BCAT1	TXNRD2	0.503
BCAT1	TYMS	0.630
BCAT1	UCK2	0.353
BCAT1	UCKL1	0.316
BCAT1	UGCG	0.482
BCAT1	UPB1	0.449
BCAT1	VNN1	0.432
BCAT1	VNN2	0.416
BCAT1	ZNF215	0.171
BCAT1	ZNF471	0.188
BCAT1	ZNF613	0.182
BCAT2	BCKDHA	0.997
BCAT2	BCKDHB	0.997
BCAT2	BCKDK	0.752
BCAT2	BHMT	0.391
BCAT2	BHMT2	0.402
BCAT2	BTD	0.428
BCAT2	CBR4	0.453
BCAT2	CS	0.461
BCAT2	CTH	0.944
BCAT2	CYP2W1	0.241
BCAT2	DBT	0.776
BCAT2	DHODH	0.462
BCAT2	DLAT	0.578
BCAT2	DLD	0.640
BCAT2	DLST	0.672
BCAT2	ESD	0.394
BCAT2	ETFDH	0.447
BCAT2	ETHE1	0.300
BCAT2	ETNPPL	0.331
BCAT2	FFAR1	0.325
BCAT2	FN3KRP	0.284
BCAT2	FPGS	0.873
BCAT2	GCLM	0.908
BCAT2	GGCT	0.190
BCAT2	GLDC	0.501
BCAT2	GLUD1	0.616
BCAT2	GLUD2	0.475
BCAT2	GLUL	0.576
BCAT2	GNPDA1	0.290
BCAT2	GOT2	0.441
BCAT2	GPI	0.467
BCAT2	GPT	0.526
BCAT2	GPT2	0.586
BCAT2	GRHPR	0.874
BCAT2	GSR	0.507
BCAT2	H6PD	0.536
BCAT2	HACL1	0.758
BCAT2	HADH	0.491
BCAT2	HADHB	0.511
BCAT2	HAS1	0.327
BCAT2	HAS3	0.327
BCAT2	HIBADH	0.658
BCAT2	HIBCH	0.484
BCAT2	HLCS	0.442
BCAT2	HMGCL	0.843
BCAT2	HMGCLL1	0.796
BCAT2	IDH1	0.582
BCAT2	IDH2	0.567
BCAT2	IDH3A	0.474
BCAT2	IDH3B	0.535
BCAT2	IDH3G	0.456
BCAT2	IL4I1	0.922
BCAT2	IVD	0.537
BCAT2	KLF15	0.601
BCAT2	KYAT1	0.485
BCAT2	KYAT3	0.391
BCAT2	LARS2	0.476
BCAT2	LDHA	0.861
BCAT2	LDHAL6A	0.830
BCAT2	LDHAL6B	0.830
BCAT2	LDHC	0.830
BCAT2	LGSN	0.367
BCAT2	LIPT2	0.239
BCAT2	LMAN2L	0.270
BCAT2	LYPLA2	0.244
BCAT2	MAT2A	0.659
BCAT2	MCCC1	0.484
BCAT2	MCCC2	0.506
BCAT2	MCEE	0.455
BCAT2	ME2	0.493
BCAT2	MECR	0.562
BCAT2	MLX	0.207
BCAT2	MTHFD1	0.412
BCAT2	MTOR	0.453
BCAT2	MTR	0.466
BCAT2	NADSYN1	0.354
BCAT2	NAGS	0.455
BCAT2	NAXD	0.322
BCAT2	NDUFS3	0.480
BCAT2	NDUFS8	0.491
BCAT2	NIT2	0.455
BCAT2	NUBP2	0.298
BCAT2	NUDT14	0.213
BCAT2	OAT	0.452
BCAT2	OXCT1	0.364
BCAT2	PANK3	0.212
BCAT2	PCCA	0.471
BCAT2	PCCB	0.525
BCAT2	PDHB	0.736
BCAT2	PDHX	0.608
BCAT2	PDPR	0.363
BCAT2	PHGDH	0.454
BCAT2	PHYKPL	0.340
BCAT2	PPCDC	0.242
BCAT2	PPCS	0.256
BCAT2	PPEF1	0.265
BCAT2	PPM1K	0.624
BCAT2	PRODH	0.493
BCAT2	PSAT1	0.564
BCAT2	PSPH	0.533
BCAT2	PYCR1	0.380
BCAT2	PYCR3	0.237
BCAT2	RIDA	0.378
BCAT2	RXRB	0.291
BCAT2	SDHA	0.491
BCAT2	SDHB	0.638
BCAT2	SDHC	0.525
BCAT2	SDS	0.906
BCAT2	SDSL	0.898
BCAT2	SHMT1	0.513
BCAT2	SHMT2	0.540
BCAT2	SIRT4	0.415
BCAT2	SLC25A12	0.254
BCAT2	SLC7A10	0.208
BCAT2	SLC7A3	0.276
BCAT2	SLC7A5	0.484
BCAT2	SLC7A6	0.278
BCAT2	SLC7A7	0.265
BCAT2	SLC7A8	0.294
BCAT2	SMAD9	0.426
BCAT2	SRR	0.470
BCAT2	TAT	0.516
BCAT2	THRB	0.543
BCAT2	THTPA	0.228
BCAT2	TMLHE	0.688
BCAT2	TPK1	0.370
BCAT2	TRAPPC6B	0.235
BCAT2	TXNRD1	0.491
BCAT2	TXNRD2	0.500
BCAT2	TYMS	0.538
BCAT2	UCK2	0.331
BCAT2	UCKL1	0.367
BCAT2	UGCG	0.448
BCAT2	UPB1	0.416
BCAT2	VNN1	0.416
BCAT2	VNN2	0.416
BCAT2	XAF1	0.271
BCAT2	ZNF419	0.195
BCHE	BDNF	0.559
BCHE	BLMH	0.444
BCHE	BRCA1	0.396
BCHE	CA13	0.203
BCHE	CA14	0.292
BCHE	CA5A	0.248
BCHE	CA5B	0.235
BCHE	CA7	0.224
BCHE	CASP3	0.413
BCHE	CBS	0.393
BCHE	CES2	0.317
BCHE	CES3	0.316
BCHE	CHAT	0.871
BCHE	CHRM1	0.430
BCHE	CHRM3	0.312
BCHE	CHRM4	0.272
BCHE	CHRNA1	0.294
BCHE	CHRNA2	0.408
BCHE	CHRNA7	0.323
BCHE	CHRND	0.247
BCHE	CHRNE	0.620
BCHE	CHRNG	0.481
BCHE	CLU	0.523
BCHE	COMT	0.497
BCHE	CP	0.591
BCHE	CRP	0.739
BCHE	CST3	0.412
BCHE	CTSD	0.435
BCHE	CYP24A1	0.455
BCHE	CYP2D6	0.625
BCHE	CYP2R1	0.361
BCHE	CYP3A4	0.464
BCHE	CYP46A1	0.492
BCHE	DHCR7	0.394
BCHE	ENTPD5	0.426
BCHE	F10	0.463
BCHE	F2	0.706
BCHE	F3	0.390
BCHE	FUCA1	0.267
BCHE	FUCA2	0.330
BCHE	GABRR2	0.200
BCHE	GHRL	0.866
BCHE	GLB1	0.426
BCHE	GPT	0.829
BCHE	GPT2	0.509
BCHE	GPX2	0.469
BCHE	GPX3	0.481
BCHE	GPX5	0.481
BCHE	GPX6	0.481
BCHE	GPX7	0.500
BCHE	GPX8	0.508
BCHE	GSK3B	0.443
BCHE	GSTO1	0.401
BCHE	GSTO2	0.392
BCHE	HCRT	0.522
BCHE	HFE	0.379
BCHE	HP	0.556
BCHE	HRG	0.467
BCHE	HRH1	0.300
BCHE	HRH3	0.575
BCHE	HSD11B1	0.449
BCHE	HTR1A	0.435
BCHE	HTR6	0.204
BCHE	IDE	0.460
BCHE	IGF1	0.577
BCHE	IGF2	0.442
BCHE	IL1B	0.461
BCHE	IL6	0.657
BCHE	INS	0.514
BCHE	LMO1	0.355
BCHE	LRTOMT	0.426
BCHE	LTF	0.506
BCHE	LYPLA1	0.271
BCHE	MAOA	0.762
BCHE	MAOB	0.809
BCHE	MAPK1	0.461
BCHE	MAPT	0.712
BCHE	MGAM	0.776
BCHE	MLNR	0.163
BCHE	MPO	0.545
BCHE	MUSK	0.748
BCHE	NGF	0.454
BCHE	NLGN1	0.406
BCHE	NOP10	0.408
BCHE	NRXN1	0.490
BCHE	NRXN2	0.480
BCHE	PARP1	0.430
BCHE	PGP	0.440
BCHE	PNLIP	0.386
BCHE	PNPLA6	0.533
BCHE	PON1	0.799
BCHE	PON2	0.230
BCHE	PON3	0.431
BCHE	PREP	0.398
BCHE	PRODH	0.565
BCHE	PSEN1	0.612
BCHE	PSEN2	0.519
BCHE	PTGS2	0.411
BCHE	PTPRK	0.352
BCHE	RXFP3	0.242
BCHE	SERPINA3	0.489
BCHE	SI	0.776
BCHE	SLC18A3	0.659
BCHE	SLC5A7	0.463
BCHE	SLC6A3	0.475
BCHE	SNCA	0.594
BCHE	SPTLC1	0.578
BCHE	TARDBP	0.401
BCHE	TNF	0.450
BCHE	TRPC7	0.195
BCHE	TTR	0.608
BCHE	TYR	0.659
BCHE	XDH	0.616
BCKDHA	BCKDHB	0.999
BCKDHA	BCKDK	0.936
BCKDHA	BPHL	0.285
BCKDHA	BRD1	0.421
BCKDHA	BRPF3	0.420
BCKDHA	COPS7B	0.285
BCKDHA	CS	0.893
BCKDHA	CTH	0.820
BCKDHA	D2HGDH	0.334
BCKDHA	DBT	0.999
BCKDHA	DCXR	0.214
BCKDHA	DDHD2	0.276
BCKDHA	DHTKD1	0.677
BCKDHA	DLAT	0.945
BCKDHA	DLD	0.999
BCKDHA	DLST	0.963
BCKDHA	ECH1	0.430
BCKDHA	ECHS1	0.520
BCKDHA	EEF2	0.428
BCKDHA	ETFB	0.439
BCKDHA	ETFDH	0.466
BCKDHA	ETHE1	0.382
BCKDHA	EXOSC5	0.406
BCKDHA	FBP1	0.655
BCKDHA	FBP2	0.646
BCKDHA	FH	0.578
BCKDHA	GALT	0.239
BCKDHA	GAPDH	0.647
BCKDHA	GAPDHS	0.562
BCKDHA	GCAT	0.337
BCKDHA	GCDH	0.610
BCKDHA	GCSH	0.704
BCKDHA	GLDC	0.428
BCKDHA	GLUD1	0.663
BCKDHA	GLUD2	0.604
BCKDHA	GPI	0.874
BCKDHA	GSR	0.771
BCKDHA	HACL1	0.773
BCKDHA	HADH	0.442
BCKDHA	HADHA	0.586
BCKDHA	HIBADH	0.518
BCKDHA	HIBCH	0.492
BCKDHA	HLCS	0.351
BCKDHA	HMGCL	0.586
BCKDHA	HSPD1	0.544
BCKDHA	IDH1	0.477
BCKDHA	IDH2	0.495
BCKDHA	IDH3A	0.714
BCKDHA	IDH3B	0.717
BCKDHA	IDH3G	0.715
BCKDHA	IDUA	0.277
BCKDHA	IL4I1	0.909
BCKDHA	IVD	0.820
BCKDHA	KLF15	0.259
BCKDHA	LDHA	0.923
BCKDHA	LDHAL6A	0.922
BCKDHA	LDHAL6B	0.922
BCKDHA	LDHC	0.922
BCKDHA	LHPP	0.292
BCKDHA	LIAS	0.349
BCKDHA	LIPF	0.278
BCKDHA	LIPJ	0.278
BCKDHA	LIPK	0.278
BCKDHA	LIPM	0.278
BCKDHA	LIPN	0.278
BCKDHA	LIPT2	0.405
BCKDHA	MCCC1	0.710
BCKDHA	MCCC2	0.846
BCKDHA	MCEE	0.489
BCKDHA	MDH2	0.438
BCKDHA	ME1	0.582
BCKDHA	ME2	0.617
BCKDHA	MMAB	0.524
BCKDHA	MMACHC	0.421
BCKDHA	MT-CO2	0.522
BCKDHA	NDUFS7	0.449
BCKDHA	NDUFV1	0.464
BCKDHA	NUBP2	0.289
BCKDHA	OXCT1	0.492
BCKDHA	OXCT2	0.455
BCKDHA	PCBD1	0.330
BCKDHA	PCCA	0.723
BCKDHA	PCCB	0.891
BCKDHA	PDHA1	0.663
BCKDHA	PDHB	0.999
BCKDHA	PDHX	0.951
BCKDHA	PEX16	0.221
BCKDHA	PFKL	0.426
BCKDHA	PFKP	0.433
BCKDHA	PHB	0.432
BCKDHA	PKLR	0.544
BCKDHA	PKM	0.565
BCKDHA	PNPO	0.345
BCKDHA	POLB	0.626
BCKDHA	PPM1K	0.965
BCKDHA	PPME1	0.338
BCKDHA	QDPR	0.352
BCKDHA	RETSAT	0.598
BCKDHA	RPE	0.675
BCKDHA	RPIA	0.844
BCKDHA	SDHA	0.495
BCKDHA	SDHB	0.463
BCKDHA	SDS	0.826
BCKDHA	SDSL	0.827
BCKDHA	SLC6A15	0.219
BCKDHA	SORD	0.428
BCKDHA	SP100	0.459
BCKDHA	SQOR	0.349
BCKDHA	SUCLA2	0.758
BCKDHA	SUCLG1	0.775
BCKDHA	SUCLG2	0.717
BCKDHA	SUOX	0.417
BCKDHA	TALDO1	0.867
BCKDHA	TKT	0.506
BCKDHA	TPK1	0.242
BCKDHA	TRAPPC6A	0.219
BCKDHA	TRIM33	0.421
BCKDHA	TUFM	0.444
BCKDHA	TXNRD1	0.770
BCKDHA	TXNRD2	0.771
BCKDHA	UQCRC1	0.427
BCKDHA	XYLB	0.802
BCKDHA	ZNF546	0.193
BCKDHA	ZNF782	0.161
BCKDHB	BCKDK	0.851
BCKDHB	BPHL	0.347
BCKDHB	BRD1	0.421
BCKDHB	BTD	0.257
BCKDHB	CAPZA1	0.900
BCKDHB	CAPZA2	0.900
BCKDHB	CARS2	0.390
BCKDHB	CBR4	0.329
BCKDHB	CRYL1	0.393
BCKDHB	CS	0.894
BCKDHB	CTH	0.840
BCKDHB	D2HGDH	0.329
BCKDHB	DBT	0.999
BCKDHB	DHTKD1	0.776
BCKDHB	DLAT	0.968
BCKDHB	DLD	0.999
BCKDHB	DLST	0.968
BCKDHB	EPHX2	0.490
BCKDHB	ETFA	0.628
BCKDHB	ETFDH	0.598
BCKDHB	ETHE1	0.294
BCKDHB	FBP1	0.706
BCKDHB	FBP2	0.706
BCKDHB	FBXL20	0.229
BCKDHB	FH	0.640
BCKDHB	FKBP9	0.355
BCKDHB	GAPDH	0.599
BCKDHB	GAPDHS	0.569
BCKDHB	GCAT	0.341
BCKDHB	GCDH	0.577
BCKDHB	GCSH	0.733
BCKDHB	GGCT	0.250
BCKDHB	GGT7	0.247
BCKDHB	GLDC	0.506
BCKDHB	GLUD1	0.633
BCKDHB	GLUD2	0.567
BCKDHB	GLYCTK	0.327
BCKDHB	GPI	0.866
BCKDHB	GSR	0.831
BCKDHB	H6PD	0.463
BCKDHB	HACL1	0.712
BCKDHB	HADH	0.488
BCKDHB	HHIP	0.408
BCKDHB	HIBADH	0.623
BCKDHB	HIBCH	0.610
BCKDHB	HLCS	0.400
BCKDHB	HMGCL	0.490
BCKDHB	HMGCLL1	0.381
BCKDHB	HSPD1	0.564
BCKDHB	HUS1	0.385
BCKDHB	ICMT	0.385
BCKDHB	IDH1	0.451
BCKDHB	IDH3A	0.793
BCKDHB	IDH3B	0.741
BCKDHB	IDH3G	0.720
BCKDHB	IL4I1	0.907
BCKDHB	IVD	0.733
BCKDHB	LDHA	0.928
BCKDHB	LDHAL6A	0.926
BCKDHB	LDHAL6B	0.926
BCKDHB	LDHC	0.927
BCKDHB	LDHD	0.317
BCKDHB	LIAS	0.331
BCKDHB	LIPF	0.283
BCKDHB	LIPJ	0.283
BCKDHB	LIPK	0.283
BCKDHB	LIPM	0.283
BCKDHB	LIPN	0.283
BCKDHB	MCCC1	0.772
BCKDHB	MCCC2	0.839
BCKDHB	MCEE	0.455
BCKDHB	ME1	0.505
BCKDHB	ME2	0.510
BCKDHB	MECR	0.445
BCKDHB	MMAB	0.290
BCKDHB	MMACHC	0.419
BCKDHB	MT-CO1	0.450
BCKDHB	MT-CO2	0.451
BCKDHB	NANS	0.330
BCKDHB	NARS2	0.406
BCKDHB	NDUFAF6	0.367
BCKDHB	NDUFS1	0.479
BCKDHB	NDUFS3	0.451
BCKDHB	NDUFS8	0.476
BCKDHB	NMNAT1	0.425
BCKDHB	NMRAL1	0.371
BCKDHB	NNT	0.446
BCKDHB	NR2C1	0.430
BCKDHB	OXCT1	0.522
BCKDHB	OXCT2	0.336
BCKDHB	PC	0.460
BCKDHB	PCBD1	0.383
BCKDHB	PCCA	0.872
BCKDHB	PCCB	0.887
BCKDHB	PDHA1	0.988
BCKDHB	PDHB	0.571
BCKDHB	PDHX	0.969
BCKDHB	PEX1	0.268
BCKDHB	PHYKPL	0.322
BCKDHB	PITRM1	0.323
BCKDHB	PKLR	0.555
BCKDHB	PKM	0.572
BCKDHB	PLPP1	0.343
BCKDHB	POLB	0.647
BCKDHB	PPM1K	0.962
BCKDHB	PRPS1	0.597
BCKDHB	QDPR	0.405
BCKDHB	RETSAT	0.591
BCKDHB	RPE	0.682
BCKDHB	RPIA	0.835
BCKDHB	SCP2	0.451
BCKDHB	SDHA	0.551
BCKDHB	SDHB	0.593
BCKDHB	SDHC	0.531
BCKDHB	SDS	0.826
BCKDHB	SDSL	0.829
BCKDHB	SLC25A1	0.363
BCKDHB	SLC25A13	0.358
BCKDHB	SLC25A15	0.186
BCKDHB	SLC25A20	0.309
BCKDHB	SP100	0.436
BCKDHB	SUCLA2	0.793
BCKDHB	SUCLG1	0.833
BCKDHB	SUCLG2	0.746
BCKDHB	TALDO1	0.866
BCKDHB	TMLHE	0.302
BCKDHB	TPI1	0.449
BCKDHB	TRIM33	0.421
BCKDHB	TTLL1	0.267
BCKDHB	TUFM	0.458
BCKDHB	TXNRD1	0.830
BCKDHB	TXNRD2	0.831
BCKDHB	TYW5	0.178
BCKDHB	XYLB	0.796
BCKDHB	XYLT1	0.351
BCKDHB	ZNF33B	0.170
BCKDHB	ZNF500	0.378
BCKDHB	ZNF785	0.224
BCKDK	BTG2	0.352
BCKDK	CBR4	0.375
BCKDK	CCS	0.320
BCKDK	CDK4	0.481
BCKDK	CETN2	0.568
BCKDK	CHD8	0.554
BCKDK	COX5A	0.443
BCKDK	CYCS	0.601
BCKDK	D2HGDH	0.268
BCKDK	DBT	0.818
BCKDK	DLAT	0.395
BCKDK	DLD	0.773
BCKDK	DLST	0.715
BCKDK	DNAJB1	0.416
BCKDK	DNM1L	0.379
BCKDK	DPM1	0.410
BCKDK	ECHS1	0.509
BCKDK	ECI1	0.406
BCKDK	ECI2	0.456
BCKDK	EHHADH	0.379
BCKDK	EIF5B	0.354
BCKDK	ETFB	0.473
BCKDK	FASN	0.426
BCKDK	FH	0.497
BCKDK	GALK1	0.347
BCKDK	GAPDH	0.448
BCKDK	GCAT	0.308
BCKDK	GCDH	0.515
BCKDK	GCNT3	0.232
BCKDK	GLUL	0.325
BCKDK	GPI	0.411
BCKDK	GRHPR	0.420
BCKDK	GTF3A	0.369
BCKDK	H6PD	0.466
